,date,name,value
172,2019-01,East Harlem North,42899
173,2019-01,East Harlem South,40082
174,2019-01,East New York,4377
175,2019-01,East New York/Pennsylvania Avenue,1094
176,2019-01,East Tremont,1238
177,2019-01,East Village,20
178,2019-01,East Williamsburg,2908
179,2019-01,Eastchester,942
180,2019-01,Elmhurst,26509
181,2019-01,Elmhurst/Maspeth,3199
182,2019-01,Eltingville/Annadale/Prince's Bay,8
183,2019-01,Erasmus,1200
184,2019-01,Far Rockaway,271
185,2019-01,Financial District North,14
186,2019-01,Financial District South,8
187,2019-01,Flatbush/Ditmas Park,3261
188,2019-01,Flatiron,12
189,2019-01,Flatlands,2271
190,2019-01,Flushing,4304
191,2019-01,Flushing Meadows-Corona Park,197
192,2019-01,Fordham South,503
193,2019-01,Forest Hills,17613
194,2019-01,Forest Park/Highland Park,29
195,2019-01,Fort Greene,17308
196,2019-01,Fresh Meadows,215
197,2019-01,Garment District,62
198,2019-01,Glen Oaks,204
199,2019-01,Glendale,437
200,2019-01,Gowanus,1407
201,2019-01,Gramercy,9
202,2019-01,Gravesend,850
203,2019-01,Great Kills,2
204,2019-01,Green-Wood Cemetery,16
205,2019-01,Greenpoint,4033
206,2019-01,Greenwich Village North,6
207,2019-01,Greenwich Village South,7
208,2019-01,Grymes Hill/Clifton,47
209,2019-01,Hamilton Heights,8556
210,2019-01,Hammels/Arverne,293
211,2019-01,Heartland Village/Todt Hill,12
212,2019-01,Highbridge,1067
213,2019-01,Highbridge Park,53
214,2019-01,Hillcrest/Pomonok,1053
215,2019-01,Hollis,557
216,2019-01,Homecrest,1371
217,2019-01,Howard Beach,346
218,2019-01,Hudson Sq,2
219,2019-01,Hunts Point,647
220,2019-01,Inwood,1795
221,2019-01,Inwood Hill Park,89
222,2019-01,JFK Airport,66
223,2019-01,Jackson Heights,16612
224,2019-01,Jamaica,9835
225,2019-01,Jamaica Estates,713
226,2019-01,Kensington,780
227,2019-01,Kew Gardens,5290
228,2019-01,Kew Gardens Hills,689
229,2019-01,Kingsbridge Heights,1247
230,2019-01,Kips Bay,10
231,2019-01,LaGuardia Airport,77
232,2019-01,Laurelton,436
233,2019-01,Lenox Hill East,16
234,2019-01,Lenox Hill West,9
235,2019-01,Lincoln Square East,35
236,2019-01,Lincoln Square West,3
237,2019-01,Little Italy/NoLiTa,1
238,2019-01,Long Island City/Hunters Point,6820
239,2019-01,Long Island City/Queens Plaza,3249
240,2019-01,Longwood,637
241,2019-01,Lower East Side,5
242,2019-01,Madison,1043
243,2019-01,Manhattan Beach,582
244,2019-01,Manhattan Valley,1
245,2019-01,Manhattanville,4146
246,2019-01,Marble Hill,211
247,2019-01,Marine Park/Floyd Bennett Field,30
248,2019-01,Marine Park/Mill Basin,1451
249,2019-01,Mariners Harbor,38
250,2019-01,Maspeth,398
251,2019-01,Meatpacking/West Village West,3
252,2019-01,Melrose South,2145
253,2019-01,Middle Village,374
254,2019-01,Midtown Center,29
255,2019-01,Midtown East,37
256,2019-01,Midtown North,26
257,2019-01,Midtown South,24
258,2019-01,Midwood,1702
259,2019-01,Morningside Heights,22105
260,2019-01,Morrisania/Melrose,1195
261,2019-01,Mott Haven/Port Morris,2071
262,2019-01,Mount Hope,1212
263,2019-01,Murray Hill,31
264,2019-01,Murray Hill-Queens,381
265,2019-01,New Dorp/Midland Beach,7
266,2019-01,Newark Airport,8
267,2019-01,North Corona,1626
268,2019-01,Norwood,1824
269,2019-01,Oakland Gardens,255
270,2019-01,Oakwood,2
271,2019-01,Ocean Hill,1531
272,2019-01,Ocean Parkway South,442
273,2019-01,Old Astoria,4417
274,2019-01,Ozone Park,239
275,2019-01,Park Slope,13886
276,2019-01,Parkchester,1759
277,2019-01,Pelham Bay,465
278,2019-01,Pelham Bay Park,65
279,2019-01,Pelham Parkway,1114
280,2019-01,Penn Station/Madison Sq West,24
281,2019-01,Port Richmond,4
282,2019-01,Prospect Heights,1691
283,2019-01,Prospect Park,396
284,2019-01,Prospect-Lefferts Gardens,3784
285,2019-01,Queens Village,1062
286,2019-01,Queensboro Hill,453
287,2019-01,Queensbridge/Ravenswood,3083
288,2019-01,Randalls Island,27
289,2019-01,Red Hook,823
290,2019-01,Rego Park,5161
291,2019-01,Richmond Hill,1661
292,2019-01,Ridgewood,530
293,2019-01,Riverdale/North Riverdale/Fieldston,652
294,2019-01,Rockaway Park,49
295,2019-01,Roosevelt Island,75
296,2019-01,Rosedale,370
297,2019-01,Rossville/Woodrow,3
298,2019-01,Saint Albans,1476
299,2019-01,Saint George/New Brighton,42
300,2019-01,Saint Michaels Cemetery/Woodside,65
301,2019-01,Schuylerville/Edgewater Park,657
302,2019-01,Sheepshead Bay,3258
303,2019-01,SoHo,6
304,2019-01,Soundview/Bruckner,1516
305,2019-01,Soundview/Castle Hill,2062
306,2019-01,South Beach/Dongan Hills,13
307,2019-01,South Jamaica,1127
308,2019-01,South Ozone Park,1122
309,2019-01,South Williamsburg,683
310,2019-01,Springfield Gardens North,860
311,2019-01,Springfield Gardens South,307
312,2019-01,Spuyten Duyvil/Kingsbridge,1390
313,2019-01,Stapleton,30
314,2019-01,Starrett City,1102
315,2019-01,Steinway,10274
316,2019-01,Stuy Town/Peter Cooper Village,1
317,2019-01,Stuyvesant Heights,3453
318,2019-01,Sunnyside,5059
319,2019-01,Sunset Park East,752
320,2019-01,Sunset Park West,1241
321,2019-01,Sutton Place/Turtle Bay North,14
322,2019-01,Times Sq/Theatre District,52
323,2019-01,TriBeCa/Civic Center,23
324,2019-01,Two Bridges/Seward Park,3
325,2019-01,UN/Turtle Bay South,4
326,2019-01,Union Sq,21
327,2019-01,University Heights/Morris Heights,1571
328,2019-01,Upper East Side North,1380
329,2019-01,Upper East Side South,11
330,2019-01,Upper West Side North,12
331,2019-01,Upper West Side South,37
332,2019-01,Van Cortlandt Park,109
333,2019-01,Van Cortlandt Village,754
334,2019-01,Van Nest/Morris Park,2771
335,2019-01,Washington Heights North,3208
336,2019-01,Washington Heights South,15490
337,2019-01,West Brighton,3
338,2019-01,West Chelsea/Hudson Yards,3
339,2019-01,West Concourse,2306
340,2019-01,West Farms/Bronx River,742
341,2019-01,West Village,11
342,2019-01,Westchester Village/Unionport,1118
343,2019-01,Westerleigh,26
344,2019-01,Whitestone,206
345,2019-01,Willets Point,19
346,2019-01,Williamsbridge/Olinville,1644
347,2019-01,Williamsburg (North Side),10299
348,2019-01,Williamsburg (South Side),3336
349,2019-01,Windsor Terrace,645
350,2019-01,Woodhaven,558
351,2019-01,Woodlawn/Wakefield,731
352,2019-01,Woodside,12335
353,2019-01,World Trade Center,8
354,2019-01,Yorkville East,14
355,2019-01,Yorkville West,399
356,2019-02,Allerton/Pelham Gardens,705
357,2019-02,Alphabet City,1
358,2019-02,Arden Heights,17
359,2019-02,Arrochar/Fort Wadsworth,20
360,2019-02,Astoria,23059
361,2019-02,Astoria Park,1
362,2019-02,Auburndale,425
363,2019-02,Baisley Park,773
364,2019-02,Bath Beach,418
365,2019-02,Battery Park,2
366,2019-02,Battery Park City,11
367,2019-02,Bay Ridge,2038
368,2019-02,Bay Terrace/Fort Totten,202
369,2019-02,Bayside,383
370,2019-02,Bedford,4047
371,2019-02,Bedford Park,1317
372,2019-02,Bellerose,286
373,2019-02,Belmont,666
374,2019-02,Bensonhurst East,938
375,2019-02,Bensonhurst West,1132
376,2019-02,Bloomfield/Emerson Hill,17
377,2019-02,Bloomingdale,1822
378,2019-02,Boerum Hill,10752
379,2019-02,Borough Park,1813
380,2019-02,Breezy Point/Fort Tilden/Riis Beach,1
381,2019-02,Briarwood/Jamaica Hills,892
382,2019-02,Brighton Beach,928
383,2019-02,Broad Channel,5
384,2019-02,Bronx Park,115
385,2019-02,Bronxdale,1056
386,2019-02,Brooklyn Heights,12493
387,2019-02,Brooklyn Navy Yard,127
388,2019-02,Brownsville,2570
389,2019-02,Bushwick North,1574
390,2019-02,Bushwick South,1773
391,2019-02,Cambria Heights,424
392,2019-02,Canarsie,2364
393,2019-02,Carroll Gardens,2615
394,2019-02,Central Harlem,31506
395,2019-02,Central Harlem North,19034
396,2019-02,Central Park,5919
397,2019-02,Charleston/Tottenville,4
398,2019-02,Chinatown,2
399,2019-02,City Island,62
400,2019-02,Claremont/Bathgate,1096
401,2019-02,Clinton East,51
402,2019-02,Clinton Hill,5204
403,2019-02,Clinton West,7
404,2019-02,Co-Op City,2074
405,2019-02,Cobble Hill,5033
406,2019-02,College Point,142
407,2019-02,Columbia Street,149
408,2019-02,Coney Island,1884
409,2019-02,Corona,2880
410,2019-02,Country Club,52
411,2019-02,Crotona Park,49
412,2019-02,Crotona Park East,623
413,2019-02,Crown Heights North,6754
414,2019-02,Crown Heights South,1944
415,2019-02,Cypress Hills,475
416,2019-02,DUMBO/Vinegar Hill,8197
417,2019-02,Douglaston,112
418,2019-02,Downtown Brooklyn/MetroTech,12604
419,2019-02,Dyker Heights,442
420,2019-02,East Chelsea,16
421,2019-02,East Concourse/Concourse Village,2487
422,2019-02,East Elmhurst,558
423,2019-02,East Flatbush/Farragut,1780
424,2019-02,East Flatbush/Remsen Village,1999
425,2019-02,East Flushing,163
426,2019-02,East Harlem North,38661
427,2019-02,East Harlem South,34507
428,2019-02,East New York,3955
429,2019-02,East New York/Pennsylvania Avenue,978
430,2019-02,East Tremont,1168
431,2019-02,East Village,21
432,2019-02,East Williamsburg,3198
433,2019-02,Eastchester,950
434,2019-02,Elmhurst,24458
435,2019-02,Elmhurst/Maspeth,2972
436,2019-02,Eltingville/Annadale/Prince's Bay,5
437,2019-02,Erasmus,1141
438,2019-02,Far Rockaway,264
439,2019-02,Financial District North,12
440,2019-02,Financial District South,5
441,2019-02,Flatbush/Ditmas Park,3064
442,2019-02,Flatiron,21
443,2019-02,Flatlands,2164
444,2019-02,Flushing,4313
445,2019-02,Flushing Meadows-Corona Park,207
446,2019-02,Fordham South,552
447,2019-02,Forest Hills,16873
448,2019-02,Forest Park/Highland Park,29
449,2019-02,Fort Greene,15004
450,2019-02,Fresh Meadows,221
451,2019-02,Freshkills Park,2
452,2019-02,Garment District,67
453,2019-02,Glen Oaks,213
454,2019-02,Glendale,383
455,2019-02,Gowanus,1113
456,2019-02,Gramercy,14
457,2019-02,Gravesend,840
458,2019-02,Great Kills,2
459,2019-02,Green-Wood Cemetery,17
460,2019-02,Greenpoint,3459
461,2019-02,Greenwich Village North,19
462,2019-02,Greenwich Village South,8
463,2019-02,Grymes Hill/Clifton,46
464,2019-02,Hamilton Heights,8006
465,2019-02,Hammels/Arverne,295
466,2019-02,Heartland Village/Todt Hill,11
467,2019-02,Highbridge,1080
468,2019-02,Highbridge Park,65
469,2019-02,Hillcrest/Pomonok,954
470,2019-02,Hollis,505
471,2019-02,Homecrest,1232
472,2019-02,Howard Beach,341
473,2019-02,Hudson Sq,5
474,2019-02,Hunts Point,725
475,2019-02,Inwood,1551
476,2019-02,Inwood Hill Park,82
477,2019-02,JFK Airport,78
478,2019-02,Jackson Heights,14548
479,2019-02,Jamaica,9177
480,2019-02,Jamaica Estates,680
481,2019-02,Kensington,686
482,2019-02,Kew Gardens,4814
483,2019-02,Kew Gardens Hills,688
484,2019-02,Kingsbridge Heights,1199
485,2019-02,Kips Bay,11
486,2019-02,LaGuardia Airport,55
487,2019-02,Laurelton,404
488,2019-02,Lenox Hill East,15
489,2019-02,Lenox Hill West,9
490,2019-02,Lincoln Square East,26
491,2019-02,Lincoln Square West,12
492,2019-02,Little Italy/NoLiTa,9
493,2019-02,Long Island City/Hunters Point,5587
494,2019-02,Long Island City/Queens Plaza,2640
495,2019-02,Longwood,615
496,2019-02,Lower East Side,5
497,2019-02,Madison,913
498,2019-02,Manhattan Beach,435
499,2019-02,Manhattan Valley,8
500,2019-02,Manhattanville,4045
501,2019-02,Marble Hill,169
502,2019-02,Marine Park/Floyd Bennett Field,24
503,2019-02,Marine Park/Mill Basin,1393
504,2019-02,Mariners Harbor,27
505,2019-02,Maspeth,348
506,2019-02,Meatpacking/West Village West,4
507,2019-02,Melrose South,2171
508,2019-02,Middle Village,348
509,2019-02,Midtown Center,44
510,2019-02,Midtown East,39
511,2019-02,Midtown North,35
512,2019-02,Midtown South,25
513,2019-02,Midwood,1573
514,2019-02,Morningside Heights,22380
515,2019-02,Morrisania/Melrose,1179
516,2019-02,Mott Haven/Port Morris,1919
517,2019-02,Mount Hope,1226
518,2019-02,Murray Hill,15
519,2019-02,Murray Hill-Queens,364
520,2019-02,New Dorp/Midland Beach,8
521,2019-02,Newark Airport,9
522,2019-02,North Corona,1428
523,2019-02,Norwood,1658
524,2019-02,Oakland Gardens,214
525,2019-02,Oakwood,4
526,2019-02,Ocean Hill,1522
527,2019-02,Ocean Parkway South,427
528,2019-02,Old Astoria,3719
529,2019-02,Ozone Park,223
530,2019-02,Park Slope,11980
531,2019-02,Parkchester,1687
532,2019-02,Pelham Bay,396
533,2019-02,Pelham Bay Park,55
534,2019-02,Pelham Parkway,988
535,2019-02,Penn Station/Madison Sq West,58
536,2019-02,Port Richmond,9
537,2019-02,Prospect Heights,1510
538,2019-02,Prospect Park,545
539,2019-02,Prospect-Lefferts Gardens,3659
540,2019-02,Queens Village,980
541,2019-02,Queensboro Hill,458
542,2019-02,Queensbridge/Ravenswood,2426
543,2019-02,Randalls Island,14
544,2019-02,Red Hook,770
545,2019-02,Rego Park,5066
546,2019-02,Richmond Hill,1597
547,2019-02,Ridgewood,488
548,2019-02,Riverdale/North Riverdale/Fieldston,580
549,2019-02,Rockaway Park,55
550,2019-02,Roosevelt Island,69
551,2019-02,Rosedale,397
552,2019-02,Rossville/Woodrow,1
553,2019-02,Saint Albans,1339
554,2019-02,Saint George/New Brighton,64
555,2019-02,Saint Michaels Cemetery/Woodside,58
556,2019-02,Schuylerville/Edgewater Park,695
557,2019-02,Seaport,2
558,2019-02,Sheepshead Bay,2888
559,2019-02,SoHo,8
560,2019-02,Soundview/Bruckner,1510
561,2019-02,Soundview/Castle Hill,2110
562,2019-02,South Beach/Dongan Hills,25
563,2019-02,South Jamaica,972
564,2019-02,South Ozone Park,964
565,2019-02,South Williamsburg,560
566,2019-02,Springfield Gardens North,717
567,2019-02,Springfield Gardens South,289
568,2019-02,Spuyten Duyvil/Kingsbridge,1299
569,2019-02,Stapleton,26
570,2019-02,Starrett City,1080
571,2019-02,Steinway,9102
572,2019-02,Stuyvesant Heights,3266
573,2019-02,Sunnyside,4229
574,2019-02,Sunset Park East,651
575,2019-02,Sunset Park West,1150
576,2019-02,Sutton Place/Turtle Bay North,12
577,2019-02,Times Sq/Theatre District,47
578,2019-02,TriBeCa/Civic Center,20
579,2019-02,Two Bridges/Seward Park,4
580,2019-02,UN/Turtle Bay South,13
581,2019-02,Union Sq,21
582,2019-02,University Heights/Morris Heights,1498
583,2019-02,Upper East Side North,1124
584,2019-02,Upper East Side South,27
585,2019-02,Upper West Side North,11
586,2019-02,Upper West Side South,45
587,2019-02,Van Cortlandt Park,135
588,2019-02,Van Cortlandt Village,798
589,2019-02,Van Nest/Morris Park,2575
590,2019-02,Washington Heights North,2848
591,2019-02,Washington Heights South,13945
592,2019-02,West Brighton,10
593,2019-02,West Chelsea/Hudson Yards,14
594,2019-02,West Concourse,2375
595,2019-02,West Farms/Bronx River,680
596,2019-02,West Village,18
597,2019-02,Westchester Village/Unionport,1113
598,2019-02,Westerleigh,34
599,2019-02,Whitestone,198
600,2019-02,Willets Point,26
601,2019-02,Williamsbridge/Olinville,1668
602,2019-02,Williamsburg (North Side),9032
603,2019-02,Williamsburg (South Side),3307
604,2019-02,Windsor Terrace,653
605,2019-02,Woodhaven,562
606,2019-02,Woodlawn/Wakefield,671
607,2019-02,Woodside,10921
608,2019-02,World Trade Center,5
609,2019-02,Yorkville East,11
610,2019-02,Yorkville West,309
611,2019-03,Allerton/Pelham Gardens,647
612,2019-03,Alphabet City,2
613,2019-03,Arden Heights,23
614,2019-03,Arrochar/Fort Wadsworth,4
615,2019-03,Astoria,23953
616,2019-03,Astoria Park,6
617,2019-03,Auburndale,356
618,2019-03,Baisley Park,806
619,2019-03,Bath Beach,433
620,2019-03,Battery Park,4
621,2019-03,Battery Park City,17
622,2019-03,Bay Ridge,1855
623,2019-03,Bay Terrace/Fort Totten,178
624,2019-03,Bayside,396
625,2019-03,Bedford,4286
626,2019-03,Bedford Park,1288
627,2019-03,Bellerose,318
628,2019-03,Belmont,711
629,2019-03,Bensonhurst East,917
630,2019-03,Bensonhurst West,1030
631,2019-03,Bloomfield/Emerson Hill,24
632,2019-03,Bloomingdale,1840
633,2019-03,Boerum Hill,11280
634,2019-03,Borough Park,1556
635,2019-03,Breezy Point/Fort Tilden/Riis Beach,7
636,2019-03,Briarwood/Jamaica Hills,895
637,2019-03,Brighton Beach,937
638,2019-03,Broad Channel,3
639,2019-03,Bronx Park,186
640,2019-03,Bronxdale,944
641,2019-03,Brooklyn Heights,13232
642,2019-03,Brooklyn Navy Yard,178
643,2019-03,Brownsville,2397
644,2019-03,Bushwick North,1668
645,2019-03,Bushwick South,1704
646,2019-03,Cambria Heights,440
647,2019-03,Canarsie,2257
648,2019-03,Carroll Gardens,2813
649,2019-03,Central Harlem,34027
650,2019-03,Central Harlem North,21442
651,2019-03,Central Park,5413
652,2019-03,Charleston/Tottenville,2
653,2019-03,Chinatown,8
654,2019-03,City Island,84
655,2019-03,Claremont/Bathgate,1118
656,2019-03,Clinton East,73
657,2019-03,Clinton Hill,5330
658,2019-03,Clinton West,6
659,2019-03,Co-Op City,1910
660,2019-03,Cobble Hill,5147
661,2019-03,College Point,181
662,2019-03,Columbia Street,166
663,2019-03,Coney Island,2255
664,2019-03,Corona,2946
665,2019-03,Country Club,66
666,2019-03,Crotona Park,57
667,2019-03,Crotona Park East,645
668,2019-03,Crown Heights North,6642
669,2019-03,Crown Heights South,1900
670,2019-03,Cypress Hills,495
671,2019-03,DUMBO/Vinegar Hill,9557
672,2019-03,Douglaston,123
673,2019-03,Downtown Brooklyn/MetroTech,13574
674,2019-03,Dyker Heights,422
675,2019-03,East Chelsea,19
676,2019-03,East Concourse/Concourse Village,2648
677,2019-03,East Elmhurst,557
678,2019-03,East Flatbush/Farragut,1753
679,2019-03,East Flatbush/Remsen Village,1873
680,2019-03,East Flushing,157
681,2019-03,East Harlem North,41955
682,2019-03,East Harlem South,35123
683,2019-03,East New York,3794
684,2019-03,East New York/Pennsylvania Avenue,904
685,2019-03,East Tremont,1279
686,2019-03,East Village,19
687,2019-03,East Williamsburg,3076
688,2019-03,Eastchester,892
689,2019-03,Elmhurst,25419
690,2019-03,Elmhurst/Maspeth,3056
691,2019-03,Eltingville/Annadale/Prince's Bay,2
692,2019-03,Erasmus,1179
693,2019-03,Far Rockaway,335
694,2019-03,Financial District North,15
695,2019-03,Financial District South,10
696,2019-03,Flatbush/Ditmas Park,3097
697,2019-03,Flatiron,17
698,2019-03,Flatlands,1982
699,2019-03,Flushing,4661
700,2019-03,Flushing Meadows-Corona Park,243
701,2019-03,Fordham South,638
702,2019-03,Forest Hills,17594
703,2019-03,Forest Park/Highland Park,28
704,2019-03,Fort Greene,16113
705,2019-03,Fresh Meadows,251
706,2019-03,Freshkills Park,1
707,2019-03,Garment District,54
708,2019-03,Glen Oaks,222
709,2019-03,Glendale,444
710,2019-03,Gowanus,1279
711,2019-03,Gramercy,19
712,2019-03,Gravesend,805
713,2019-03,Great Kills,1
714,2019-03,Green-Wood Cemetery,23
715,2019-03,Greenpoint,4078
716,2019-03,Greenwich Village North,21
717,2019-03,Greenwich Village South,15
718,2019-03,Grymes Hill/Clifton,50
719,2019-03,Hamilton Heights,8765
720,2019-03,Hammels/Arverne,436
721,2019-03,Heartland Village/Todt Hill,11
722,2019-03,Highbridge,1017
723,2019-03,Highbridge Park,63
724,2019-03,Hillcrest/Pomonok,933
725,2019-03,Hollis,524
726,2019-03,Homecrest,1187
727,2019-03,Howard Beach,321
728,2019-03,Hudson Sq,2
729,2019-03,Hunts Point,741
730,2019-03,Inwood,1833
731,2019-03,Inwood Hill Park,82
732,2019-03,JFK Airport,69
733,2019-03,Jackson Heights,15742
734,2019-03,Jamaica,10127
735,2019-03,Jamaica Estates,744
736,2019-03,Kensington,684
737,2019-03,Kew Gardens,5107
738,2019-03,Kew Gardens Hills,646
739,2019-03,Kingsbridge Heights,1260
740,2019-03,Kips Bay,18
741,2019-03,LaGuardia Airport,68
742,2019-03,Laurelton,444
743,2019-03,Lenox Hill East,8
744,2019-03,Lenox Hill West,7
745,2019-03,Lincoln Square East,23
746,2019-03,Lincoln Square West,2
747,2019-03,Little Italy/NoLiTa,9
748,2019-03,Long Island City/Hunters Point,5672
749,2019-03,Long Island City/Queens Plaza,2692
750,2019-03,Longwood,634
751,2019-03,Lower East Side,5
752,2019-03,Madison,823
753,2019-03,Manhattan Beach,512
754,2019-03,Manhattan Valley,3
755,2019-03,Manhattanville,4463
756,2019-03,Marble Hill,248
757,2019-03,Marine Park/Floyd Bennett Field,32
758,2019-03,Marine Park/Mill Basin,1153
759,2019-03,Mariners Harbor,45
760,2019-03,Maspeth,406
761,2019-03,Meatpacking/West Village West,3
762,2019-03,Melrose South,2425
763,2019-03,Middle Village,463
764,2019-03,Midtown Center,26
765,2019-03,Midtown East,45
766,2019-03,Midtown North,18
767,2019-03,Midtown South,29
768,2019-03,Midwood,1467
769,2019-03,Morningside Heights,22412
770,2019-03,Morrisania/Melrose,1252
771,2019-03,Mott Haven/Port Morris,2298
772,2019-03,Mount Hope,1240
773,2019-03,Murray Hill,30
774,2019-03,Murray Hill-Queens,361
775,2019-03,New Dorp/Midland Beach,3
776,2019-03,Newark Airport,5
777,2019-03,North Corona,1782
778,2019-03,Norwood,1698
779,2019-03,Oakland Gardens,300
780,2019-03,Oakwood,2
781,2019-03,Ocean Hill,1477
782,2019-03,Ocean Parkway South,374
783,2019-03,Old Astoria,3659
784,2019-03,Ozone Park,224
785,2019-03,Park Slope,12107
786,2019-03,Parkchester,1747
787,2019-03,Pelham Bay,375
788,2019-03,Pelham Bay Park,30
789,2019-03,Pelham Parkway,915
790,2019-03,Penn Station/Madison Sq West,64
791,2019-03,Port Richmond,4
792,2019-03,Prospect Heights,1636
793,2019-03,Prospect Park,633
794,2019-03,Prospect-Lefferts Gardens,3444
795,2019-03,Queens Village,969
796,2019-03,Queensboro Hill,436
797,2019-03,Queensbridge/Ravenswood,2218
798,2019-03,Randalls Island,21
799,2019-03,Red Hook,693
800,2019-03,Rego Park,5258
801,2019-03,Richmond Hill,1491
802,2019-03,Ridgewood,496
803,2019-03,Riverdale/North Riverdale/Fieldston,519
804,2019-03,Rockaway Park,99
805,2019-03,Roosevelt Island,68
806,2019-03,Rosedale,356
807,2019-03,Rossville/Woodrow,2
808,2019-03,Saint Albans,1547
809,2019-03,Saint George/New Brighton,60
810,2019-03,Saint Michaels Cemetery/Woodside,82
811,2019-03,Schuylerville/Edgewater Park,733
812,2019-03,Seaport,2
813,2019-03,Sheepshead Bay,2834
814,2019-03,SoHo,10
815,2019-03,Soundview/Bruckner,1553
816,2019-03,Soundview/Castle Hill,2033
817,2019-03,South Beach/Dongan Hills,16
818,2019-03,South Jamaica,1132
819,2019-03,South Ozone Park,1030
820,2019-03,South Williamsburg,542
821,2019-03,Springfield Gardens North,787
822,2019-03,Springfield Gardens South,286
823,2019-03,Spuyten Duyvil/Kingsbridge,1255
824,2019-03,Stapleton,19
825,2019-03,Starrett City,1056
826,2019-03,Steinway,8862
827,2019-03,Stuy Town/Peter Cooper Village,4
828,2019-03,Stuyvesant Heights,3112
829,2019-03,Sunnyside,4434
830,2019-03,Sunset Park East,630
831,2019-03,Sunset Park West,1091
832,2019-03,Sutton Place/Turtle Bay North,11
833,2019-03,Times Sq/Theatre District,27
834,2019-03,TriBeCa/Civic Center,21
835,2019-03,Two Bridges/Seward Park,4
836,2019-03,UN/Turtle Bay South,14
837,2019-03,Union Sq,28
838,2019-03,University Heights/Morris Heights,1537
839,2019-03,Upper East Side North,985
840,2019-03,Upper East Side South,16
841,2019-03,Upper West Side North,8
842,2019-03,Upper West Side South,33
843,2019-03,Van Cortlandt Park,117
844,2019-03,Van Cortlandt Village,846
845,2019-03,Van Nest/Morris Park,2613
846,2019-03,Washington Heights North,3049
847,2019-03,Washington Heights South,14662
848,2019-03,West Brighton,10
849,2019-03,West Chelsea/Hudson Yards,17
850,2019-03,West Concourse,2819
851,2019-03,West Farms/Bronx River,726
852,2019-03,West Village,20
853,2019-03,Westchester Village/Unionport,1091
854,2019-03,Westerleigh,14
855,2019-03,Whitestone,218
856,2019-03,Willets Point,19
857,2019-03,Williamsbridge/Olinville,1606
858,2019-03,Williamsburg (North Side),9348
859,2019-03,Williamsburg (South Side),3547
860,2019-03,Windsor Terrace,531
861,2019-03,Woodhaven,568
862,2019-03,Woodlawn/Wakefield,689
863,2019-03,Woodside,12058
864,2019-03,World Trade Center,11
865,2019-03,Yorkville East,14
866,2019-03,Yorkville West,284
867,2019-04,Allerton/Pelham Gardens,332
868,2019-04,Alphabet City,1
869,2019-04,Arden Heights,7
870,2019-04,Arrochar/Fort Wadsworth,1
871,2019-04,Astoria,22466
872,2019-04,Astoria Park,6
873,2019-04,Auburndale,197
874,2019-04,Baisley Park,495
875,2019-04,Bath Beach,218
876,2019-04,Battery Park,1
877,2019-04,Battery Park City,11
