,date,name,value
103,2019-01,Allerton/Pelham Gardens,676
104,2019-01,Alphabet City,3
105,2019-01,Arden Heights,4
106,2019-01,Arrochar/Fort Wadsworth,15
107,2019-01,Astoria,26107
108,2019-01,Astoria Park,5
109,2019-01,Auburndale,396
110,2019-01,Baisley Park,916
111,2019-01,Bath Beach,439
112,2019-01,Battery Park City,16
113,2019-01,Bay Ridge,2215
114,2019-01,Bay Terrace/Fort Totten,156
115,2019-01,Bayside,389
116,2019-01,Bedford,4451
117,2019-01,Bedford Park,1317
118,2019-01,Bellerose,318
119,2019-01,Belmont,673
120,2019-01,Bensonhurst East,946
121,2019-01,Bensonhurst West,1119
122,2019-01,Bloomfield/Emerson Hill,17
123,2019-01,Bloomingdale,1840
124,2019-01,Boerum Hill,12343
125,2019-01,Borough Park,2036
126,2019-01,Breezy Point/Fort Tilden/Riis Beach,1
127,2019-01,Briarwood/Jamaica Hills,892
128,2019-01,Brighton Beach,958
129,2019-01,Broad Channel,3
130,2019-01,Bronx Park,168
131,2019-01,Bronxdale,1081
132,2019-01,Brooklyn Heights,14867
133,2019-01,Brooklyn Navy Yard,152
134,2019-01,Brownsville,2678
135,2019-01,Bushwick North,1591
136,2019-01,Bushwick South,1890
137,2019-01,Cambria Heights,416
138,2019-01,Canarsie,2542
139,2019-01,Carroll Gardens,3114
140,2019-01,Central Harlem,33458
141,2019-01,Central Harlem North,20582
142,2019-01,Central Park,7152
143,2019-01,Charleston/Tottenville,4
144,2019-01,Chinatown,3
145,2019-01,City Island,65
146,2019-01,Claremont/Bathgate,1036
147,2019-01,Clinton East,42
148,2019-01,Clinton Hill,5809
149,2019-01,Clinton West,3
150,2019-01,Co-Op City,2070
151,2019-01,Cobble Hill,5691
152,2019-01,College Point,168
153,2019-01,Columbia Street,194
154,2019-01,Coney Island,2075
155,2019-01,Corona,2996
156,2019-01,Country Club,57
157,2019-01,Crotona Park,56
158,2019-01,Crotona Park East,653
159,2019-01,Crown Heights North,7023
160,2019-01,Crown Heights South,1889
161,2019-01,Cypress Hills,583
162,2019-01,DUMBO/Vinegar Hill,10125
163,2019-01,Douglaston,102
164,2019-01,Downtown Brooklyn/MetroTech,14569
165,2019-01,Dyker Heights,485
166,2019-01,East Chelsea,15
167,2019-01,East Concourse/Concourse Village,2531
168,2019-01,East Elmhurst,619
169,2019-01,East Flatbush/Farragut,1849
170,2019-01,East Flatbush/Remsen Village,2168
171,2019-01,East Flushing,168
